	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Judith Blake	0.02904409	0.82360643	0.009104472	0.07724792	0.00086999877	0.022587193	0.013427297	0.0032158813	0.0044139037	0.016482878
Mark Borodovsky	0.0011375741	0.015053209	0.002505167	0.8293225	0.00031843397	0.035649315	0.08577523	0.008793549	0.020990415	0.0004545129
Rita Casadio	0.00046658638	0.0010311919	0.00434375	0.28506526	0.00012016747	0.7034265	4.967054e-05	0.0009906029	0.0016238675	0.0028823914
Paul Flicek	0.004030294	0.36363685	0.0038617935	0.3920847	0.00096154696	0.03281005	0.007320324	0.003642734	0.1779284	0.013723381
Osamu Gotoh	6.0395512e-05	2.6432848e-05	0.99980074	8.441307e-05	1.9899287e-06	2.1579048e-05	7.79695e-08	1.0442127e-06	3.1665331e-06	2.2973272e-07
Rafael Irizarry	0.009073107	0.018791089	0.005883877	0.012215383	0.0017943801	0.92453545	0.012107419	0.007668692	0.0009662367	0.0069642356
Laxmi Parida	0.0001554819	0.002191205	0.0010408545	0.0004579413	6.204986e-06	0.0010063727	2.2110112e-06	0.0012937366	0.00018234435	0.99366367
Katherine S. Pollard	0.01248678	0.8109263	0.0073540667	0.12928131	0.0045332527	0.016456371	0.00071783987	0.006738962	0.0041555725	0.007349432
Ben Raphael	0.13441695	0.14451005	0.027668599	0.16383731	0.0005577969	0.027834613	0.47330475	0.0043594474	0.018442348	0.0050682
Zhiping Weng	7.162552e-05	0.0003636074	0.99814177	0.001011125	2.4240344e-05	0.000159253	2.6071214e-06	1.0398662e-05	9.580707e-05	0.000119590375
Xuegong Zhang	9.563563e-06	4.3748343e-05	0.999696	0.00017116217	2.5000274e-06	2.2678234e-05	1.2397438e-06	2.1028214e-05	1.4284689e-05	1.7896828e-05
Leroy Hood	0.086057834	0.36880922	0.024908544	0.01885709	0.0002580442	0.021233192	0.00012958718	0.016238159	0.0023969754	0.46111137
Harold Morowitz	0.038954645	0.0838471	0.00125014	0.72562593	0.00070995674	0.015984394	0.11629912	0.0009923867	0.013440265	0.0028960956
